champ1,champ2,winrate,n_games
Jarvan IV,Nautilus,0.544642857,336
Kai'Sa,Braum,0.544642857,336
Xin Zhao,Nasus,0.485119048,336
LeBlanc,Nunu,0.431547619,336
Morgana,Lux,0.5148809520000001,336
Fiddlesticks,Taliyah,0.47321428600000004,336
Olaf,Kai'Sa,0.47164179100000003,335
Shaco,Fizz,0.49700598799999995,334
Jinx,Pyke,0.517964072,334
Malphite,Talon,0.45508982,334
Dr. Mundo,Mordekaiser,0.511976048,334
Ryze,Kayn,0.48502994,334
Zac,Taliyah,0.48203592799999995,334
Cho'Gath,Ezreal,0.511976048,334
Xin Zhao,Kayle,0.5329341320000001,334
Malphite,Nasus,0.5,334
Xin Zhao,Miss Fortune,0.48802395200000004,334
Yasuo,Lucian,0.492492492,333
Nasus,Akali,0.393393393,333
Taric,Kindred,0.5615615620000001,333
Evelynn,Talon,0.45945945899999996,333
Kai'Sa,Ornn,0.516516517,333
Maokai,Ezreal,0.603603604,333
Kindred,Illaoi,0.43674698799999995,332
Fiddlesticks,Miss Fortune,0.527108434,332
Fiddlesticks,Jhin,0.509036145,332
Morgana,Yasuo,0.49397590399999997,332
Maokai,Talon,0.475903614,332
Zed,Vi,0.454819277,332
Zac,Camille,0.49397590399999997,332
Graves,Gnar,0.540785498,331
Quinn,Pyke,0.42900302100000004,331
Rengar,Rek'Sai,0.48942598200000004,331
Volibear,Zac,0.48181818200000004,330
Riven,Sejuani,0.49696969700000004,330
Teemo,Karthus,0.590909091,330
Olaf,Jarvan IV,0.539393939,330
Cho'Gath,Jinx,0.533333333,330
Sion,Volibear,0.584848485,330
Miss Fortune,Kindred,0.45151515200000003,330
Gragas,Jinx,0.490909091,330
Leona,Diana,0.512121212,330
Sion,Pantheon,0.550151976,329
Garen,Jinx,0.49240121600000003,329
Malphite,Zed,0.477203647,329
Master Yi,Caitlyn,0.477203647,329
Malzahar,Kayn,0.553191489,329
Udyr,Fizz,0.544072948,329
Shen,Kha'Zix,0.46808510600000003,329
Irelia,Zac,0.525835866,329
Evelynn,Karthus,0.5457317070000001,328
Nocturne,Darius,0.44207317100000004,328
Annie,Graves,0.50304878,328
Xin Zhao,Vayne,0.463414634,328
Kha'Zix,Jinx,0.509146341,328
Fiddlesticks,Nasus,0.50304878,328
Rumble,Poppy,0.582317073,328
Udyr,Zed,0.45731707299999996,328
Master Yi,Vel'Koz,0.509146341,328
Kog'Maw,Graves,0.548780488,328
Galio,Teemo,0.5107033639999999,327
Jax,Rek'Sai,0.458715596,327
Nautilus,Diana,0.547400612,327
Orianna,Wukong,0.5596330279999999,327
Akali,Fizz,0.38226299700000005,327
Ezreal,Vi,0.447852761,326
Pantheon,Camille,0.493865031,326
Sion,Rammus,0.558282209,326
Malphite,Quinn,0.5,326
Xin Zhao,Renekton,0.463190184,326
Talon,Hecarim,0.463190184,326
Illaoi,Pyke,0.44,325
Warwick,Singed,0.526153846,325
Xin Zhao,Talon,0.433846154,325
Irelia,Shyvana,0.44307692299999996,325
Fiddlesticks,Ezreal,0.450617284,324
Skarner,Kai'Sa,0.487654321,324
Graves,Nami,0.515432099,324
Morgana,Jarvan IV,0.524691358,324
Amumu,Bard,0.5851393189999999,323
Warwick,Lucian,0.5046439629999999,323
Ornn,Pyke,0.44582043299999996,323
Jarvan IV,Elise,0.49845201200000006,323
LeBlanc,Lee Sin,0.436532508,323
Jarvan IV,Ezreal,0.551083591,323
Amumu,Orianna,0.5465838510000001,322
Karthus,Nocturne,0.555900621,322
Karthus,Kai'Sa,0.574534161,322
Wukong,Bard,0.456521739,322
Zilean,Rengar,0.535825545,321
Poppy,Lux,0.548286604,321
Cho'Gath,Talon,0.426791277,321
Renekton,Gragas,0.560747664,321
Rammus,Taliyah,0.557632399,321
Miss Fortune,Tryndamere,0.514018692,321
Skarner,Poppy,0.520249221,321
Lulu,Kai'Sa,0.542056075,321
Xin Zhao,Jhin,0.523364486,321
Poppy,Zed,0.490625,320
Gragas,Quinn,0.49375,320
Dr. Mundo,Lucian,0.496875,320
Vayne,Vi,0.521875,320
Olaf,Pantheon,0.44375,320
Maokai,Jinx,0.6125,320
Dr. Mundo,Skarner,0.528125,320
Veigar,Wukong,0.478125,320
Irelia,Nidalee,0.479623824,319
Morgana,Dr. Mundo,0.60815047,319
Warwick,Illaoi,0.46081504700000003,319
Nunu,Yorick,0.47335423200000004,319
Brand,Nasus,0.600628931,318
Evelynn,Nasus,0.424528302,318
Lux,Aatrox,0.468553459,318
Rammus,Trundle,0.525157233,318
Amumu,Kalista,0.528301887,318
Maokai,Sejuani,0.48742138399999996,318
Olaf,Trundle,0.45911949700000004,318
Garen,Thresh,0.5471698110000001,318
Fizz,Hecarim,0.449685535,318
Morgana,Poppy,0.589905363,317
Malphite,Rumble,0.567823344,317
Fiddlesticks,Ornn,0.45110410100000004,317
Olaf,Maokai,0.517350158,317
Singed,Kai'Sa,0.47318612,317
Shaco,Talon,0.479495268,317
Kayle,Cho'Gath,0.577287066,317
Xin Zhao,Mordekaiser,0.48264984200000005,317
Kindred,Tahm Kench,0.504731861,317
Annie,Lee Sin,0.504731861,317
Singed,Udyr,0.560126582,316
Sejuani,Diana,0.49367088600000003,316
Galio,Maokai,0.5632911389999999,316
Nautilus,Aatrox,0.522151899,316
Xin Zhao,Singed,0.487341772,316
Pantheon,Nautilus,0.537974684,316
Talon,Vi,0.49050632899999996,316
Morgana,Kai'Sa,0.556962025,316
Xin Zhao,Blitzcrank,0.45396825399999996,315
Urgot,Gragas,0.53968254,315
Kha'Zix,Lucian,0.488888889,315
Galio,Cho'Gath,0.495238095,315
Olaf,Nidalee,0.488888889,315
Shen,Kindred,0.46031746,315
Kayle,Garen,0.5682539679999999,315
Riven,Zed,0.49206349200000005,315
Gragas,Lux,0.53015873,315
Rumble,Garen,0.587301587,315
Nautilus,Hecarim,0.501587302,315
Morgana,Udyr,0.533333333,315
Warwick,Thresh,0.484076433,314
Jax,Katarina,0.570063694,314
Skarner,Yasuo,0.522292994,314
Skarner,Garen,0.50955414,314
Shyvana,Taliyah,0.5159235670000001,314
Nunu,Xerath,0.49363057299999996,314
Kayle,Poppy,0.544585987,314
Kayle,Hecarim,0.5254777070000001,314
Teemo,Taliyah,0.47133758,314
Teemo,Renekton,0.43949044600000003,314
Ashe,Jax,0.426751592,314
Skarner,Nidalee,0.485623003,313
Malphite,Ornn,0.488817891,313
Kha'Zix,Quinn,0.412140575,313
Nasus,Gragas,0.52715655,313
Shyvana,Darius,0.530351438,313
Kha'Zix,Illaoi,0.498402556,313
Cho'Gath,Renekton,0.476038339,313
Gangplank,Rengar,0.45367412100000004,313
Amumu,Kled,0.5993589739999999,312
Kayle,Dr. Mundo,0.58974359,312
Brand,Nautilus,0.637820513,312
Jax,Kog'Maw,0.5993589739999999,312
Kassadin,Graves,0.554487179,312
Malphite,Lucian,0.516025641,312
Rumble,Gragas,0.514469453,311
Miss Fortune,Vi,0.5016077170000001,311
Skarner,Shyvana,0.47266881,311
Sejuani,Ekko,0.536977492,311
Nasus,Aatrox,0.443729904,311
Poppy,Jinx,0.556270096,311
Volibear,Darius,0.541935484,310
Elise,Udyr,0.464516129,310
Nasus,Kai'Sa,0.512903226,310
Sona,Kayn,0.570967742,310
LeBlanc,Graves,0.49354838700000003,310
Hecarim,Zed,0.45483871,310
Amumu,Gangplank,0.632258065,310
Tristana,Rengar,0.46129032299999995,310
Yasuo,Jinx,0.532258065,310
Wukong,Heimerdinger,0.5275080910000001,309
Garen,Lucian,0.5275080910000001,309
Garen,Talon,0.472491909,309
Galio,Aatrox,0.44660194200000003,309
Diana,Camille,0.49514563100000003,309
Sion,Ornn,0.516233766,308
Taric,Kayn,0.538961039,308
Caitlyn,Lee Sin,0.522727273,308
Kindred,Bard,0.482084691,307
Graves,Draven,0.469055375,307
Xin Zhao,Thresh,0.44625407200000006,307
Lee Sin,Vel'Koz,0.5555555560000001,306
Rammus,Skarner,0.444444444,306
Lee Sin,Xayah,0.44771241799999995,306
Brand,Nidalee,0.519607843,306
Twitch,Lulu,0.524590164,305
Lee Sin,Draven,0.43934426200000004,305
Udyr,Ezreal,0.485245902,305
Cho'Gath,Rumble,0.547540984,305
Poppy,Talon,0.5049180329999999,305
Amumu,Ivern,0.44918032799999996,305
Nautilus,Thresh,0.45901639299999997,305
Dr. Mundo,Talon,0.546052632,304
Lee Sin,Fiora,0.42105263200000004,304
Riven,Nautilus,0.490131579,304
Udyr,Lux,0.575657895,304
Teemo,Fizz,0.460526316,304
Ahri,Kayn,0.524752475,303
Jarvan IV,Zed,0.481848185,303
Ezreal,Kindred,0.452145215,303
Nasus,Hecarim,0.488448845,303
Kai'Sa,Taliyah,0.574257426,303
Olaf,Tryndamere,0.468646865,303
Tryndamere,Taliyah,0.551155116,303
Gangplank,Kayn,0.475247525,303
Fiddlesticks,Talon,0.468646865,303
Twitch,Camille,0.43708609299999995,302
Vayne,Hecarim,0.5,302
Garen,Quinn,0.476821192,302
Teemo,Jhin,0.483443709,302
Irelia,Pantheon,0.48675496700000004,302
Rumble,Yasuo,0.5231788079999999,302
Nidalee,Nautilus,0.490066225,302
Galio,Evelynn,0.430463576,302
Fiddlesticks,Illaoi,0.504983389,301
Swain,Kayn,0.49169435200000006,301
Zilean,Lee Sin,0.508305648,301
Kayle,Malphite,0.594684385,301
Blitzcrank,Kai'Sa,0.46511627899999997,301
Sejuani,Zac,0.45514950200000004,301
Cho'Gath,Lucian,0.55,300
Nidalee,Sejuani,0.483333333,300
Sion,Darius,0.556666667,300
Alistar,Pyke,0.47,300
Jax,Karma,0.525083612,299
Akali,Shen,0.361204013,299
Teemo,Thresh,0.468227425,299
Urgot,Pyke,0.491638796,299
Shen,Pyke,0.484949833,299
Maokai,Lucian,0.602006689,299
Master Yi,Kalista,0.464882943,299
Urgot,Wukong,0.560402685,298
Shaco,Heimerdinger,0.466442953,298
Karthus,Rammus,0.5838926170000001,298
Master Yi,Yorick,0.483221477,298
Tryndamere,Irelia,0.486577181,298
Leona,Kindred,0.531986532,297
Galio,Akali,0.417508418,297
Morgana,Gragas,0.552188552,297
Brand,Camille,0.589225589,297
Kayle,Udyr,0.508417508,297
Galio,Twitch,0.488215488,297
Lulu,Kayn,0.488215488,297
Brand,Ekko,0.592592593,297
Karthus,Pantheon,0.557432432,296
Warwick,Veigar,0.489864865,296
Urgot,Warwick,0.44256756799999997,296
Urgot,Yasuo,0.5168918920000001,296
Nunu,Braum,0.425675676,296
Wukong,Zyra,0.537162162,296
Nidalee,Zed,0.49662162200000004,296
Fizz,Aatrox,0.5168918920000001,296
Urgot,Kindred,0.508474576,295
Jax,Swain,0.525423729,295
Akali,Jhin,0.41694915299999996,295
Xin Zhao,Rumble,0.488135593,295
Jax,Ziggs,0.552542373,295
Gragas,Thresh,0.46440678,295
Miss Fortune,Evelynn,0.46779661,295
Rammus,Darius,0.517006803,294
Jarvan IV,Orianna,0.5476190479999999,294
Kai'Sa,Zed,0.486394558,294
Ashe,Amumu,0.557823129,294
Volibear,Sejuani,0.506802721,294
Rumble,Vi,0.5802047779999999,293
Lee Sin,Jayce,0.505119454,293
Twisted Fate,Jax,0.552901024,293
Urgot,Kha'Zix,0.5153583620000001,293
Olaf,Twitch,0.5221842999999999,293
Shyvana,Camille,0.43003413,293
Jarvan IV,Mordekaiser,0.503424658,292
Cho'Gath,Blitzcrank,0.489726027,292
Lee Sin,Gnar,0.441780822,292
Kayle,Maokai,0.643835616,292
Blitzcrank,Gragas,0.43150684899999997,292
Nautilus,Darius,0.551369863,292
Kayle,Yasuo,0.5924657529999999,292
Poppy,Ornn,0.554794521,292
Cho'Gath,Ornn,0.515463918,291
Evelynn,Vayne,0.5395189,291
Sion,Taliyah,0.570446735,291
Ezreal,Aatrox,0.487972509,291
Olaf,Shyvana,0.48109965600000004,291
Vayne,Udyr,0.49484536100000004,291
Twitch,Nasus,0.48109965600000004,291
Olaf,Diana,0.48453608200000003,291
Poppy,Thresh,0.527586207,290
Kayle,Tryndamere,0.565517241,290
Nunu,Cassiopeia,0.562068966,290
Kassadin,Lee Sin,0.503448276,290
Karthus,Shyvana,0.562068966,290
Lulu,Kindred,0.520689655,290
Singed,Twitch,0.596551724,290
Malphite,Mordekaiser,0.555172414,290
Fiddlesticks,Renekton,0.49134948100000003,289
Evelynn,Jhin,0.456747405,289
Evelynn,Thresh,0.48096885799999994,289
Amumu,Shen,0.456747405,289
Miss Fortune,Shaco,0.456747405,289
Dr. Mundo,Thresh,0.602076125,289
Kayle,Vi,0.5590277779999999,288
Irelia,Nocturne,0.461805556,288
Ziggs,Kayn,0.53125,288
Twitch,Skarner,0.53125,288
Lux,Kai'Sa,0.541666667,288
Cho'Gath,Quinn,0.456445993,287
Trundle,Darius,0.48083623700000006,287
Olaf,Aatrox,0.428571429,287
Amumu,Katarina,0.540069686,287
Shaco,Nasus,0.407665505,287
Rengar,Ziggs,0.5121951220000001,287
Galio,Sion,0.513986014,286
Cho'Gath,Thresh,0.486013986,286
Jarvan IV,Jhin,0.534965035,286
Nasus,Vi,0.45804195799999997,286
Trundle,Camille,0.440559441,286
Graves,Jayce,0.538461538,286
Jhin,Vi,0.531468531,286
Renekton,Riven,0.555944056,286
Warwick,Ivern,0.44210526299999997,285
Pantheon,Sejuani,0.48771929799999997,285
Lucian,Thresh,0.533333333,285
Amumu,Kog'Maw,0.592982456,285
Rammus,Vayne,0.46666666700000003,285
Irelia,Camille,0.46478873200000004,284
Graves,Aurelion Sol,0.524647887,284
Volibear,Taliyah,0.598591549,284
Miss Fortune,Hecarim,0.49295774600000003,284
Poppy,Mordekaiser,0.545774648,284
Miss Fortune,Udyr,0.545774648,284
Teemo,Miss Fortune,0.455830389,283
Sion,Irelia,0.530035336,283
Renekton,Akali,0.413427562,283
Jarvan IV,Skarner,0.512367491,283
Bard,Pyke,0.40989399299999996,283
Talon,Zed,0.455830389,283
Galio,Rammus,0.494699647,283
Trundle,Taliyah,0.537102473,283
Vayne,Aatrox,0.487632509,283
Hecarim,Jhin,0.480565371,283
Shaco,Blitzcrank,0.45936395799999996,283
Malphite,Skarner,0.537102473,283
Xin Zhao,Quinn,0.455830389,283
Maokai,Fizz,0.544169611,283
Mordekaiser,Akali,0.38869258,283
Dr. Mundo,Rumble,0.595744681,282
Zed,Aatrox,0.464539007,282
Miss Fortune,Akali,0.38652482299999996,282
Renekton,Udyr,0.464539007,282
Tahm Kench,Pyke,0.418439716,282
Blitzcrank,Udyr,0.485815603,282
Blitzcrank,Malphite,0.49645390100000003,282
Renekton,Yasuo,0.5,282
Teemo,Lux,0.483985765,281
Galio,Camille,0.483985765,281
Leona,Kha'Zix,0.519572954,281
Darius,Zac,0.427046263,281
Fiddlesticks,Kayle,0.526690391,281
Nasus,Poppy,0.508896797,281
Jarvan IV,Thresh,0.489285714,280
Sion,Trundle,0.542857143,280
Morgana,Malphite,0.5642857139999999,280
Elise,Gragas,0.45357142899999997,280
Evelynn,Renekton,0.5214285710000001,280
Veigar,Kha'Zix,0.5071428570000001,280
Irelia,Darius,0.42142857100000003,280
Poppy,Lucian,0.5321428570000001,280
Teemo,Vayne,0.525,280
Tristana,Poppy,0.542857143,280
Alistar,Poppy,0.5214285710000001,280
Dr. Mundo,Renekton,0.539285714,280
Vayne,Akali,0.42142857100000003,280
Tryndamere,Nasus,0.440860215,279
Mordekaiser,Aatrox,0.494623656,279
Karthus,Trundle,0.6093189960000001,279
Katarina,Kayn,0.458781362,279
Shen,Kai'Sa,0.523297491,279
Evelynn,Ezreal,0.41577060899999996,279
Amumu,Leona,0.505376344,279
Riven,Lux,0.5125448029999999,279
Jhin,Kindred,0.458781362,279
Leona,Kai'Sa,0.548387097,279
Rammus,Zac,0.455197133,279
Lucian,Vi,0.498207885,279
Kennen,Graves,0.534050179,279
Udyr,Mordekaiser,0.559139785,279
Lux,Hecarim,0.47311828,279
Vayne,Kai'Sa,0.514388489,278
Katarina,Rengar,0.464028777,278
Vi,Ornn,0.478417266,278
Graves,Vel'Koz,0.586330935,278
Veigar,Pyke,0.464028777,278
Cho'Gath,Illaoi,0.498194946,277
Vayne,Kindred,0.476534296,277
Blitzcrank,Akali,0.357400722,277
Amumu,Kennen,0.537906137,277
Ashe,Rengar,0.47463768100000003,276
Amumu,Sona,0.565217391,276
Galio,Zac,0.471014493,276
Teemo,Blitzcrank,0.420289855,276
Maokai,Mordekaiser,0.536231884,276
Warwick,Bard,0.405797101,276
Tryndamere,Nautilus,0.5072463770000001,276
Tryndamere,Camille,0.467391304,276
Warwick,Shen,0.420289855,276
Nunu,Vel'Koz,0.471014493,276
Singed,Vi,0.5072463770000001,276
Evelynn,Elise,0.43272727299999997,275
Jinx,Vi,0.48,275
Nautilus,Ekko,0.509090909,275
Jax,Braum,0.530909091,275
Urgot,Cho'Gath,0.552727273,275
Amumu,Rek'Sai,0.549090909,275
Taliyah,Camille,0.45090909100000004,275
Master Yi,Jayce,0.47810219,274
Poppy,Quinn,0.50729927,274
Morgana,Pantheon,0.525547445,274
Master Yi,Anivia,0.494505495,273
Mordekaiser,Vi,0.542124542,273
Udyr,Jhin,0.52014652,273
Diana,Zed,0.505494505,273
Wukong,Ivern,0.402930403,273
Alistar,Gragas,0.472527473,273
Singed,Malphite,0.56043956,273
Skarner,Volibear,0.509157509,273
Karma,Rengar,0.45787545799999996,273
Nocturne,Fizz,0.490842491,273
Swain,Rengar,0.540441176,272
Quinn,Yasuo,0.452205882,272
Skarner,Aatrox,0.470588235,272
Yasuo,Illaoi,0.544117647,272
Twitch,Thresh,0.514705882,272
Heimerdinger,Kindred,0.485294118,272
Fizz,Kai'Sa,0.45588235299999996,272
Lee Sin,Kalista,0.518382353,272
Alistar,Blitzcrank,0.479704797,271
Gragas,Ornn,0.48708487100000003,271
Lux,Darius,0.512915129,271
Maokai,Nasus,0.535055351,271
Rumble,Kai'Sa,0.468634686,271
Galio,Riven,0.5387453870000001,271
Elise,Hecarim,0.52398524,271
Xin Zhao,Jinx,0.5018450179999999,271
Cho'Gath,Mordekaiser,0.468634686,271
Veigar,Yasuo,0.527675277,271
Amumu,Zoe,0.512915129,271
Heimerdinger,Pyke,0.468634686,271
Twitch,Karthus,0.533333333,270
Vi,Thresh,0.5,270
Galio,Udyr,0.485185185,270
Warwick,Ornn,0.481481481,270
Olaf,Ekko,0.488888889,270
Garen,Illaoi,0.474074074,270
Master Yi,Aurelion Sol,0.496296296,270
Maokai,Lux,0.518518519,270
Ashe,Kayn,0.477777778,270
Kayle,Gragas,0.49259259299999997,270
Akali,Ornn,0.37037037,270
Shaco,Thresh,0.425925926,270
Orianna,Kayn,0.585185185,270
Fiddlesticks,Thresh,0.453531599,269
Gragas,Mordekaiser,0.553903346,269
Evelynn,Ornn,0.486988848,269
Kindred,Lucian,0.446096654,269
Ahri,Rengar,0.472118959,269
Kindred,Kled,0.475836431,269
Cho'Gath,Veigar,0.546468401,269
Warwick,Rek'Sai,0.43122676600000004,269
Xin Zhao,Lucian,0.453531599,269
Vayne,Riven,0.546468401,269
Rumble,Hecarim,0.56133829,269
Zilean,Kayn,0.555970149,268
Renekton,Vi,0.46641791,268
Urgot,Fiddlesticks,0.585820896,268
Lux,Shyvana,0.44402985100000003,268
Shaco,Elise,0.421641791,268
Volibear,Nautilus,0.5074626870000001,268
Dr. Mundo,Quinn,0.47014925399999996,268
Malphite,Thresh,0.513108614,267
Nasus,Shyvana,0.38202247200000006,267
Fiddlesticks,Jinx,0.546816479,267
Shyvana,Nautilus,0.535580524,267
Talon,Riven,0.490636704,267
Renekton,Jarvan IV,0.5187969920000001,266
Riven,Fizz,0.526315789,266
Teemo,Rumble,0.484962406,266
Dr. Mundo,Ornn,0.530075188,266
Poppy,Bard,0.5225563910000001,266
Brand,Sejuani,0.552631579,266
Ezreal,Akali,0.428571429,266
Miss Fortune,Aatrox,0.483018868,265
Evelynn,Lucian,0.471698113,265
Tryndamere,Zed,0.441509434,265
Zed,Ekko,0.505660377,265
Elise,Yasuo,0.498113208,265
Warwick,Heimerdinger,0.464150943,265
Tryndamere,Fizz,0.524528302,265
Teemo,Illaoi,0.5018867920000001,265
Quinn,Kindred,0.441509434,265
Kayle,Teemo,0.564393939,264
Xin Zhao,Urgot,0.553030303,264
Karthus,Darius,0.575757576,264
Fiddlesticks,Rumble,0.507575758,264
Jarvan IV,Nasus,0.507575758,264
Singed,Cho'Gath,0.545454545,264
Teemo,Ezreal,0.40530303,264
Malzahar,Rengar,0.524714829,263
Vayne,Shyvana,0.501901141,263
Shaco,Rumble,0.52851711,263
Lulu,Yasuo,0.543726236,263
Kindred,Rek'Sai,0.403041825,263
Akali,Lux,0.368821293,263
Mordekaiser,Hecarim,0.48288973399999996,263
Shaco,Mordekaiser,0.494296578,263
Kayle,Jarvan IV,0.55513308,263
Akali,Illaoi,0.414448669,263
Karma,Kayn,0.520912548,263
Xin Zhao,Ivern,0.42585551299999996,263
Darius,Taliyah,0.589353612,263
Yasuo,Rek'Sai,0.511450382,262
Jax,Draven,0.496183206,262
Maokai,Ornn,0.511450382,262
Caitlyn,Graves,0.477099237,262
Skarner,Pantheon,0.48854961799999996,262
Dr. Mundo,Veigar,0.526717557,262
Urgot,Teemo,0.511450382,262
Nidalee,Taliyah,0.563218391,261
Rumble,Riven,0.53256705,261
Jarvan IV,Quinn,0.455938697,261
Shyvana,Fizz,0.455938697,261
Evelynn,Quinn,0.429118774,261
Jax,Gnar,0.492307692,260
Singed,Gragas,0.55,260
Nasus,Nidalee,0.438461538,260
Hecarim,Lucian,0.503846154,260
Warwick,Kled,0.507692308,260
Kayle,Evelynn,0.596153846,260
Alistar,Twitch,0.519230769,260
Zyra,Yasuo,0.569230769,260
Blitzcrank,Vi,0.438461538,260
Lee Sin,Braum,0.492307692,260
Veigar,Poppy,0.48262548299999997,259
Jax,Fiora,0.521235521,259
Kog'Maw,Kayn,0.594594595,259
Fiddlesticks,Fizz,0.486486486,259
Amumu,Ziggs,0.579150579,259
Rengar,Varus,0.420849421,259
Anivia,Graves,0.5521235520000001,259
Olaf,Zac,0.45559845600000004,259
Karthus,Zac,0.5503875970000001,258
Janna,Yasuo,0.527131783,258
Urgot,Poppy,0.531007752,258
Xin Zhao,Illaoi,0.523255814,258
Hecarim,Thresh,0.449612403,258
Nocturne,Elise,0.507751938,258
Lee Sin,Aurelion Sol,0.457364341,258
Sion,Camille,0.511627907,258
Master Yi,Cassiopeia,0.604651163,258
Teemo,Quinn,0.459143969,257
Jarvan IV,Talon,0.435797665,257
Singed,Poppy,0.540856031,257
Jarvan IV,Jinx,0.517509728,257
Singed,Shaco,0.459143969,257
Jax,Caitlyn,0.459143969,257
Singed,Evelynn,0.498054475,257
Xin Zhao,Ornn,0.474708171,257
Quinn,Vi,0.486381323,257
Galio,Tryndamere,0.540856031,257
Hecarim,Jinx,0.49416342399999996,257
Fiddlesticks,Blitzcrank,0.447470817,257
Yorick,Graves,0.51953125,256
Karthus,Volibear,0.5703125,256
Evelynn,Ivern,0.40625,256
Alistar,Evelynn,0.55859375,256
Renekton,Kai'Sa,0.48046875,256
Jarvan IV,Leona,0.515625,256
Sejuani,Camille,0.4375,256
Sion,Nautilus,0.5546875,256
Irelia,Taliyah,0.470588235,255
Ivern,Pyke,0.41176470600000004,255
Akali,Thresh,0.384313725,255
Udyr,Thresh,0.46274509799999997,255
Evelynn,Blitzcrank,0.44705882399999997,255
Kha'Zix,Zyra,0.568627451,255
Ezreal,Shyvana,0.49411764700000005,255
Sion,Sejuani,0.552941176,255
Shaco,Ezreal,0.43529411799999995,255
Xin Zhao,Alistar,0.533333333,255
Shen,Yasuo,0.523622047,254
Ezreal,Hecarim,0.41338582700000004,254
Gragas,Bard,0.511811024,254
Twitch,Taliyah,0.523622047,254
Jax,Zilean,0.559055118,254
Soraka,Nunu,0.46456692899999996,254
Heimerdinger,Kha'Zix,0.537549407,253
Shaco,Ornn,0.46640316200000004,253
Sion,Miss Fortune,0.549407115,253
Fiddlesticks,Lux,0.509881423,253
Singed,Aatrox,0.494071146,253
Malphite,Illaoi,0.535714286,252
Urgot,Dr. Mundo,0.535714286,252
Elise,Akali,0.36111111100000004,252
Miss Fortune,Shyvana,0.46031746,252
Jarvan IV,Illaoi,0.51984127,252
Tristana,Gragas,0.531746032,252
Yasuo,Bard,0.456349206,252
Morgana,Riven,0.488095238,252
Tristana,Warwick,0.48015873,252
Lee Sin,Kennen,0.46428571399999996,252
Jhin,Aatrox,0.496031746,252
Fiddlesticks,Mordekaiser,0.48015873,252
Sejuani,Darius,0.41666666700000005,252
Garen,Ornn,0.55952381,252
Blitzcrank,Hecarim,0.398406375,251
Kled,Pyke,0.430278884,251
Rumble,Udyr,0.517928287,251
Singed,Rammus,0.446215139,251
Veigar,Malphite,0.517928287,251
Riven,Jhin,0.501992032,251
Alistar,Warwick,0.470119522,251
Amumu,Tahm Kench,0.577689243,251
Rammus,Camille,0.474103586,251
Talon,Diana,0.49003984100000003,251
Nunu,Syndra,0.462151394,251
Blitzcrank,Jarvan IV,0.52,250
Yasuo,Ivern,0.49200000000000005,250
Tristana,Pyke,0.47200000000000003,250
Singed,Jarvan IV,0.496,250
Galio,Diana,0.544,250
Kayn,Gnar,0.46,250
Dr. Mundo,Blitzcrank,0.49397590399999997,249
Lucian,Aatrox,0.47791164700000005,249
Tryndamere,Lux,0.514056225,249
Teemo,Lucian,0.453815261,249
Zoe,Yasuo,0.457831325,249
Lee Sin,Varus,0.44979919700000004,249
Kha'Zix,Rek'Sai,0.42168674700000003,249
Jarvan IV,Lucian,0.518072289,249
Morgana,Aatrox,0.5542168670000001,249
Shaco,Vayne,0.44979919700000004,249
Blitzcrank,Darius,0.37751004,249
Miss Fortune,Darius,0.49799196799999995,249
Elise,Nidalee,0.447580645,248
Nocturne,Renekton,0.47983871,248
Morgana,Maokai,0.560483871,248
Morgana,Hecarim,0.47580645200000005,248
Sion,Jhin,0.532258065,248
Wukong,Leona,0.467741935,248
Olaf,Sejuani,0.459677419,248
Evelynn,Lux,0.536290323,248
Skarner,Riven,0.524193548,248
Olaf,Rammus,0.471774194,248
Alistar,Cho'Gath,0.552419355,248
Annie,Jax,0.552419355,248
Fiddlesticks,Alistar,0.487903226,248
Tristana,Malphite,0.5,248
Taliyah,Ekko,0.55465587,247
Singed,Nocturne,0.44534413,247
Kindred,Jinx,0.44939271299999994,247
Galio,Ekko,0.546558704,247
Elise,Poppy,0.5303643720000001,247
Nocturne,Zed,0.412955466,247
Teemo,Ornn,0.48582996,247
Kog'Maw,Rengar,0.518218623,247
Talon,Aatrox,0.42914979799999997,247
Heimerdinger,Garen,0.497975709,247
Pantheon,Fizz,0.48987854299999994,247
Sion,Fizz,0.487804878,246
Renekton,Poppy,0.528455285,246
Brand,Skarner,0.597560976,246
Heimerdinger,Yasuo,0.487804878,246
Teemo,Jinx,0.487804878,246
Draven,Kayn,0.508130081,246
Urgot,Akali,0.386178862,246
Lee Sin,Yorick,0.47967479700000004,246
Aatrox,Thresh,0.508130081,246
Karthus,Brand,0.650406504,246
Shaco,Shen,0.42448979600000003,245
Lulu,Hecarim,0.440816327,245
Annie,Amumu,0.497959184,245
Riven,Thresh,0.518367347,245
Gragas,Shen,0.534693878,245
Karthus,Ekko,0.616326531,245
Elise,Pantheon,0.510204082,245
Urgot,Evelynn,0.471311475,244
Skarner,Diana,0.487704918,244
Urgot,Garen,0.520491803,244
Gangplank,Pyke,0.401639344,244
Veigar,Garen,0.491803279,244
Jax,Kassadin,0.553278689,244
Talon,Kai'Sa,0.528688525,244
Galio,Shyvana,0.5122950820000001,244
Diana,Taliyah,0.536885246,244
Evelynn,Fizz,0.405737705,244
Galio,Brand,0.56557377,244
Shaco,Illaoi,0.37295082,244
Evelynn,Mordekaiser,0.426229508,244
