champ1,champ2,winrate,n_games
Gragas,Rengar,0.535387177,2402
Fiddlesticks,Amumu,0.5607008760000001,2397
Nunu,Nidalee,0.466862416,2384
Master Yi,Aatrox,0.46515533200000003,2382
Teemo,Lee Sin,0.465736041,2364
Nocturne,Lee Sin,0.45466101700000006,2360
Nunu,Tryndamere,0.505531915,2350
Gragas,Kayn,0.520842286,2327
Nunu,Riven,0.5030514389999999,2294
Warwick,Amumu,0.52145359,2284
Nunu,Nocturne,0.443854996,2262
Nidalee,Graves,0.51838724,2257
Evelynn,Kayn,0.474922326,2253
Master Yi,Diana,0.512032086,2244
Jax,Gragas,0.551385165,2238
Jax,Udyr,0.5280143429999999,2231
Master Yi,Kai'Sa,0.464510332,2226
Graves,Aatrox,0.534085779,2215
Rakan,Xayah,0.551927438,2205
Lee Sin,Pantheon,0.465603645,2195
Nocturne,Graves,0.47967108299999994,2189
Maokai,Lee Sin,0.561926606,2180
Rammus,Graves,0.5456642070000001,2168
Master Yi,Zac,0.493998153,2166
Kayn,Yasuo,0.51086454,2163
Fiddlesticks,Jax,0.562904718,2162
Jax,Jarvan IV,0.561776955,2161
Graves,Diana,0.591666667,2160
Master Yi,Volibear,0.504642526,2154
Evelynn,Rengar,0.466105657,2139
Lee Sin,Kai'Sa,0.49295112799999996,2128
Graves,Ekko,0.543529412,2125
Master Yi,Sejuani,0.500705882,2125
Kayn,Aatrox,0.49433427799999996,2118
Master Yi,Twitch,0.49787032700000006,2113
Jax,Cho'Gath,0.5489543729999999,2104
Master Yi,Riven,0.496669838,2102
Nunu,Trundle,0.47501189899999996,2101
Master Yi,Ekko,0.501197892,2087
Lee Sin,Aatrox,0.476007678,2084
Xin Zhao,Kayn,0.453365385,2080
Lee Sin,Garen,0.519249278,2078
Xin Zhao,Rengar,0.44782608700000004,2070
Lee Sin,Riven,0.511639185,2062
Jax,Evelynn,0.49221789899999996,2056
Amumu,Malphite,0.573307355,2053
Lee Sin,Diana,0.525341131,2052
Graves,Zac,0.522439024,2050
Nunu,Brand,0.5666178620000001,2049
Jax,Vi,0.510534052,2041
Master Yi,Brand,0.58664703,2037
Nunu,Maokai,0.538612887,2033
Trundle,Graves,0.55101035,2029
Jax,Yasuo,0.562003968,2016
Master Yi,Pantheon,0.47196029799999994,2015
Nunu,Pantheon,0.44810379200000006,2004
Amumu,Pyke,0.52173913,2001
Kayle,Master Yi,0.5675,2000
Shyvana,Graves,0.514028056,1996
Pantheon,Graves,0.531829574,1995
Shaco,Rengar,0.432581454,1995
Nunu,Rammus,0.44332999,1994
Brand,Graves,0.618447581,1984
Nunu,Ekko,0.49823321600000003,1981
Jax,Shaco,0.495454545,1980
Nunu,Diana,0.481256332,1974
Graves,Volibear,0.548370672,1964
Cho'Gath,Kayn,0.5259674129999999,1964
Lee Sin,Ekko,0.518386108,1958
Teemo,Jax,0.51149719,1957
Rengar,Vi,0.44073884,1949
Xin Zhao,Amumu,0.533093894,1949
Fiddlesticks,Rengar,0.497172237,1945
Gragas,Yasuo,0.526859504,1936
Fiddlesticks,Kayn,0.500516529,1936
Rengar,Yasuo,0.508324662,1922
Jax,Dr. Mundo,0.573736321,1919
Jax,Garen,0.54754441,1914
Nocturne,Rengar,0.45554393299999996,1912
Graves,Kai'Sa,0.544787847,1909
Kayn,Vi,0.476390346,1906
Riven,Graves,0.570752236,1901
Master Yi,Trundle,0.48815165899999996,1899
Nunu,Zac,0.425026399,1894
Nunu,Sejuani,0.460401267,1894
Amumu,Jarvan IV,0.588391906,1878
Udyr,Rengar,0.47921108700000004,1876
Malphite,Wukong,0.5494388029999999,1871
Cho'Gath,Rengar,0.5166130760000001,1866
Jax,Malphite,0.558602151,1860
Nunu,Volibear,0.508629989,1854
Shaco,Kayn,0.46637744,1844
Lee Sin,Shyvana,0.45681694700000003,1841
Nunu,Irelia,0.468766974,1841
Jax,Poppy,0.569247546,1834
Warwick,Kindred,0.413755459,1832
Master Yi,Sion,0.534463895,1828
Warwick,Kha'Zix,0.46221731899999996,1813
Gragas,Kindred,0.507751938,1806
Jarvan IV,Kayn,0.529639889,1805
Tryndamere,Graves,0.533518006,1805
Lee Sin,Zac,0.473655019,1803
Jax,Akali,0.424528302,1802
Jarvan IV,Rengar,0.515269295,1801
Nidalee,Rengar,0.477361655,1789
Twitch,Lee Sin,0.486834734,1785
Akali,Rengar,0.39436619700000003,1775
Wukong,Kha'Zix,0.494629734,1769
Master Yi,Darius,0.496876775,1761
Rengar,Hecarim,0.43856655299999997,1758
Warwick,Wukong,0.47952218399999996,1758
Jax,Maokai,0.575342466,1752
Riven,Yasuo,0.51572327,1749
Udyr,Kayn,0.474256293,1748
Malphite,Rengar,0.527459954,1748
Sion,Graves,0.568481375,1745
Akali,Kayn,0.407621247,1732
Malphite,Kayn,0.521939954,1732
Cho'Gath,Yasuo,0.529513889,1728
Jarvan IV,Wukong,0.529514904,1711
Tryndamere,Lee Sin,0.49619215,1707
Lee Sin,Volibear,0.521151586,1702
Poppy,Rengar,0.542083579,1699
Gragas,Kha'Zix,0.507992895,1689
Nunu,Lucian,0.5094786729999999,1688
Teemo,Kayn,0.491394659,1685
Kha'Zix,Pyke,0.439691028,1683
Teemo,Rengar,0.462455304,1678
Kha'Zix,Kindred,0.47318236,1678
Dr. Mundo,Kayn,0.55515802,1677
Jax,Nidalee,0.540346683,1673
Nunu,Camille,0.454545455,1672
Nunu,Vayne,0.50389922,1667
Xin Zhao,Warwick,0.43580470200000004,1659
Lee Sin,Camille,0.49186256799999994,1659
Amumu,Vi,0.5353047679999999,1657
Trundle,Lee Sin,0.481526348,1651
Nunu,Darius,0.47390776700000004,1648
Amumu,Yasuo,0.560486322,1645
Hecarim,Kayn,0.46350365,1644
Jax,Kai'Sa,0.557926829,1640
Dr. Mundo,Rengar,0.526894866,1636
Wukong,Kindred,0.48440367,1635
Poppy,Kayn,0.5233415229999999,1628
Jax,Hecarim,0.506150062,1626
Jax,Pantheon,0.50308642,1620
Brand,Lee Sin,0.5940594060000001,1616
Fiddlesticks,Wukong,0.515566625,1606
Graves,Darius,0.5324594260000001,1602
Master Yi,Nautilus,0.499687695,1601
Graves,Sejuani,0.500936914,1601
Amumu,Kai'Sa,0.603502189,1599
Maokai,Rengar,0.525455688,1591
Jax,Nocturne,0.48208673799999996,1591
Wukong,Gragas,0.5238993710000001,1590
Nocturne,Kayn,0.460907945,1586
Graves,Taliyah,0.565107459,1582
Garen,Rengar,0.525079365,1575
Twitch,Graves,0.526048285,1574
Kindred,Pyke,0.483333333,1560
Wukong,Pyke,0.46217948700000006,1560
Amumu,Udyr,0.522215068,1553
Xin Zhao,Wukong,0.487096774,1550
Maokai,Kayn,0.566883117,1540
Warwick,Pyke,0.45893090000000003,1534
Nidalee,Kayn,0.48073154799999995,1531
Evelynn,Kha'Zix,0.441541476,1531
Graves,Camille,0.489542484,1530
Amumu,Gragas,0.551905388,1522
Jarvan IV,Yasuo,0.546052632,1520
Rammus,Lee Sin,0.49111257399999997,1519
Jax,Aatrox,0.503952569,1518
Lee Sin,Taliyah,0.538664904,1513
Amumu,Shaco,0.5282392029999999,1505
Jax,Shyvana,0.490365449,1505
Garen,Kayn,0.505655356,1503
Jax,Diana,0.578,1500
Kayn,Kai'Sa,0.511022044,1497
Teemo,Amumu,0.540414162,1497
Amumu,Garen,0.539288113,1489
Tryndamere,Jax,0.517821116,1487
Master Yi,Taliyah,0.52596089,1483
Amumu,Nocturne,0.52972973,1480
Graves,Nautilus,0.544594595,1480
Jax,Twitch,0.533513879,1477
Evelynn,Amumu,0.5240677970000001,1475
Twitch,Amumu,0.5633898310000001,1475
Cho'Gath,Amumu,0.560054907,1457
Warwick,Evelynn,0.425722146,1454
Fiddlesticks,Warwick,0.494141971,1451
Jax,Riven,0.54589372,1449
Xin Zhao,Jarvan IV,0.5255878279999999,1446
Jax,Brand,0.623439667,1442
Shaco,Kha'Zix,0.425383543,1434
Diana,Kayn,0.523076923,1430
Kha'Zix,Vi,0.45804195799999997,1430
Master Yi,Skarner,0.491952414,1429
Shaco,Wukong,0.483146067,1424
Amumu,Dr. Mundo,0.581395349,1419
Sion,Lee Sin,0.5437235539999999,1418
Cho'Gath,Kindred,0.516949153,1416
Maokai,Kindred,0.562146893,1416
Cho'Gath,Wukong,0.528621908,1415
Nunu,Miss Fortune,0.511315417,1414
Nunu,Taliyah,0.49645892399999997,1412
Master Yi,Karthus,0.588360539,1409
Yasuo,Pyke,0.478353442,1409
Rengar,Aatrox,0.49182658100000004,1407
