"","champ1","champ2","winrate","n_games"
"10668","Aatrox","Varus",0.347826087,92
"4858","Aatrox","Vayne",0.487632509,283
"6878","Aatrox","Veigar",0.545945946,185
"10662","Aatrox","Vel'Koz",0.47311828,93
"2086","Aatrox","Vi",0.496206373,659
"17278","Aatrox","Viktor",0.590909091,22
"11676","Aatrox","Vladimir",0.558441558,77
"3180","Aatrox","Volibear",0.46275395,443
"1440","Aatrox","Warwick",0.408304498,867
"1192","Aatrox","Wukong",0.484756098,984
"5283","Aatrox","Xayah",0.510638298,94
"13876","Aatrox","Xerath",0.5,50
"1758","Aatrox","Xin Zhao",0.461030383,757
"1072","Aatrox","Yasuo",0.487371375,1069
"11082","Aatrox","Yorick",0.505882353,85
"2832","Aatrox","Zac",0.453465347,505
"4874","Aatrox","Zed",0.464539007,282
"8650","Aatrox","Ziggs",0.480916031,131
"8186","Aatrox","Zilean",0.48951049,143
"7792","Aatrox","Zoe",0.45751634,153
"6874","Aatrox","Zyra",0.437837838,185
"43981","Ahri","Aatrox",0.496062992,127
"8934","Ahri","Akali",0.39516129,124
"14490","Ahri","Alistar",0.590909091,44
"5716","Ahri","Amumu",0.584745763,236
"19134","Ahri","Anivia",0.666666667,9
"17374","Ahri","Annie",0.428571429,21
"15804","Ahri","Ashe",0.393939394,33
"95841","Ahri","Aurelion Sol",0.444444444,9
"89741","Ahri","Azir",0.388888889,18
"7711","Ahri","Bard",0.5,36
"14596","Ahri","Blitzcrank",0.302325581,43
"11980","Ahri","Brand",0.602739726,73
"8837","Ahri","Braum",0.368421053,19
"17566","Ahri","Caitlyn",0.65,20
"58211","Ahri","Camille",0.454545455,77
"18876","Ahri","Cassiopeia",0.636363636,11
"8662","Ahri","Cho'Gath",0.446153846,130
"18794","Ahri","Corki",0.5,12
"46981","Ahri","Darius",0.539130435,115
"60521","Ahri","Diana",0.549295775,71
"7788","Ahri","Dr. Mundo",0.562091503,153
"8665","Ahri","Draven",0.181818182,22
"5489","Ahri","Ekko",0.528735632,87
"16170","Ahri","Elise",0.5,30
"8020","Ahri","Evelynn",0.394557823,147
"14210","Ahri","Ezreal",0.510638298,47
"10470","Ahri","Fiddlesticks",0.59375,96
"92641","Ahri","Fiora",0.384615385,13
"72011","Ahri","Fizz",0.533333333,45
"15150","Ahri","Galio",0.5,38
"15450","Ahri","Gangplank",0.527777778,36
"7552","Ahri","Garen",0.55,160
"85741","Ahri","Gnar",0.434782609,23
"9146","Ahri","Gragas",0.416666667,120
"17301","Ahri","Graves",0.544554455,404
"4083","Ahri","Hecarim",0.454545455,143
"16258","Ahri","Heimerdinger",0.533333333,30
"7565","Ahri","Illaoi",0.605263158,38
"11880","Ahri","Irelia",0.486486486,74
"8145","Ahri","Ivern",0.466666667,30
"18572","Ahri","Janna",0.461538462,13
"8938","Ahri","Jarvan IV",0.5,124
"4044","Ahri","Jax",0.562318841,345
"8987","Ahri","Jayce",0.529411765,17
"6135","Ahri","Jhin",0.565217391,69
"65881","Ahri","Jinx",0.534482759,58
"4771","Ahri","Kai'Sa",0.482142857,112
"92111","Ahri","Kalista",0.642857143,14
"18152","Ahri","Karma",0.6875,16
"13190","Ahri","Karthus",0.568965517,58
"18206","Ahri","Kassadin",0.3125,16
"17708","Ahri","Katarina",0.368421053,19
"16958","Ahri","Kayle",0.541666667,24
"22881","Ahri","Kayn",0.524752475,303
"17960","Ahri","Kennen",0.411764706,17
"2979","Ahri","Kha'Zix",0.526785714,224
"3755","Ahri","Kindred",0.540372671,161
"7687","Ahri","Kled",0.5,36
"18306","Ahri","Kog'Maw",0.266666667,15
"17460","Ahri","LeBlanc",0.4,20
"3528","Ahri","Lee Sin",0.462311558,398
"16704","Ahri","Leona",0.461538462,26
"9671","Ahri","Lissandra",0.857142857,7
"7475","Ahri","Lucian",0.4,40
"9339","Ahri","Lulu",0.416666667,12
"12078","Ahri","Lux",0.422535211,71
"9102","Ahri","Malphite",0.429752066,121
"17716","Ahri","Malzahar",0.368421053,19
"9198","Ahri","Maokai",0.605042017,119
"2822","Ahri","Master Yi",0.518737673,507
"13570","Ahri","Miss Fortune",0.490566038,53
"15440","Ahri","Mordekaiser",0.527777778,36
"15140","Ahri","Morgana",0.421052632,38
"9651","Ahri","Nami",0.625,8
