"","champ1","champ2","winrate","n_games"
"16374","Heimerdinger","Twisted Fate",0.517241379,29
"8026","Heimerdinger","Twitch",0.544217687,147
"3539","Heimerdinger","Udyr",0.465909091,176
"11070","Heimerdinger","Urgot",0.476744186,86
"7535","Heimerdinger","Varus",0.435897436,39
"11596","Heimerdinger","Vayne",0.538461538,78
"13362","Heimerdinger","Veigar",0.472727273,55
"93301","Heimerdinger","Vel'Koz",0.461538462,13
"3449","Heimerdinger","Vi",0.532608696,184
"96801","Heimerdinger","Viktor",0.285714286,7
"18246","Heimerdinger","Vladimir",0.466666667,15
"39011","Heimerdinger","Volibear",0.453947368,152
"5172","Heimerdinger","Warwick",0.464150943,265
"4522","Heimerdinger","Wukong",0.527508091,309
"82241","Heimerdinger","Xayah",0.464285714,28
"93421","Heimerdinger","Xerath",0.416666667,12
"5924","Heimerdinger","Xin Zhao",0.486725664,226
"27611","Heimerdinger","Yasuo",0.487804878,246
"7389","Heimerdinger","Yorick",0.547619048,42
"49981","Heimerdinger","Zac",0.475728155,103
"5227","Heimerdinger","Zed",0.479166667,96
"73121","Heimerdinger","Ziggs",0.325581395,43
"15750","Heimerdinger","Zilean",0.470588235,34
"72081","Heimerdinger","Zoe",0.444444444,45
"4735","Heimerdinger","Zyra",0.622807018,114
"6798","Illaoi","Aatrox",0.457446809,188
"15130","Illaoi","Ahri",0.605263158,38
"5212","Illaoi","Akali",0.414448669,263
"12342","Illaoi","Alistar",0.544117647,68
"2930","Illaoi","Amumu",0.531827515,487
"17328","Illaoi","Anivia",0.409090909,22
"14568","Illaoi","Annie",0.477272727,44
"12222","Illaoi","Ashe",0.536231884,69
"17170","Illaoi","Aurelion Sol",0.47826087,23
"16602","Illaoi","Azir",0.481481481,27
"6277","Illaoi","Bard",0.4,65
"9630","Illaoi","Blitzcrank",0.509090909,110
"6772","Illaoi","Brand",0.502645503,189
"17862","Illaoi","Braum",0.5,18
"15330","Illaoi","Caitlyn",0.459459459,37
"9326","Illaoi","Camille",0.534482759,116
"17188","Illaoi","Cassiopeia",0.47826087,23
"4966","Illaoi","Cho'Gath",0.498194946,277
"18902","Illaoi","Corki",0.454545455,11
"6678","Illaoi","Darius",0.549222798,193
"6350","Illaoi","Diana",0.492753623,207
"5928","Illaoi","Dr. Mundo",0.508849558,226
"16144","Illaoi","Draven",0.5,30
"6976","Illaoi","Ekko",0.480662983,181
"11742","Illaoi","Elise",0.447368421,76
"5606","Illaoi","Evelynn",0.477366255,243
"11690","Illaoi","Ezreal",0.428571429,77
"4610","Illaoi","Fiddlesticks",0.504983389,301
"15938","Illaoi","Fiora",0.53125,32
"9878","Illaoi","Fizz",0.485714286,105
"9640","Illaoi","Galio",0.536363636,110
"13268","Illaoi","Gangplank",0.385964912,57
"5086","Illaoi","Garen",0.474074074,270
"15212","Illaoi","Gnar",0.394736842,38
"5680","Illaoi","Gragas",0.512605042,238
"2134","Illaoi","Graves",0.53250774,646
"5960","Illaoi","Hecarim",0.511210762,223
"11788","Illaoi","Heimerdinger",0.413333333,75
"10430","Illaoi","Irelia",0.4375,96
"63741","Illaoi","Ivern",0.428571429,63
"18568","Illaoi","Janna",0.461538462,13
"5388","Illaoi","Jarvan IV",0.51984127,252
"2716","Illaoi","Jax",0.528409091,528
"15842","Illaoi","Jayce",0.303030303,33
"10814","Illaoi","Jhin",0.511111111,90
"10128","Illaoi","Jinx",0.564356436,101
"6238","Illaoi","Kai'Sa",0.497630332,211
"7409","Illaoi","Kalista",0.463414634,41
"15606","Illaoi","Karma",0.4,35
"7894","Illaoi","Karthus",0.58,150
"16470","Illaoi","Kassadin",0.464285714,28
"14678","Illaoi","Katarina",0.418604651,43
"11000","Illaoi","Kayle",0.546511628,86
"3170","Illaoi","Kayn",0.501123596,445
"14720","Illaoi","Kennen",0.452380952,42
"4474","Illaoi","Kha'Zix",0.498402556,313
"4190","Illaoi","Kindred",0.436746988,332
"13662","Illaoi","Kled",0.557692308,52
"14600","Illaoi","Kog'Maw",0.511627907,43
"16198","Illaoi","LeBlanc",0.4,30
"2452","Illaoi","Lee Sin",0.475945017,582
"14612","Illaoi","Leona",0.418604651,43
"16960","Illaoi","Lissandra",0.375,24
"12000","Illaoi","Lucian",0.5,72
"15722","Illaoi","Lulu",0.5,34
"9722","Illaoi","Lux",0.444444444,108
"5380","Illaoi","Malphite",0.535714286,252
"14062","Illaoi","Malzahar",0.510204082,49
"5658","Illaoi","Maokai",0.589958159,239
"1436","Illaoi","Master Yi",0.463751438,869
"9664","Illaoi","Miss Fortune",0.458715596,109
"10818","Illaoi","Mordekaiser",0.511111111,90
"10826","Illaoi","Morgana",0.477777778,90
"16418","Illaoi","Nami",0.571428571,28
"10574","Illaoi","Nasus",0.5,94
"8974","Illaoi","Nautilus",0.451612903,124
"7176","Illaoi","Nidalee",0.445086705,173
"6968","Illaoi","Nocturne",0.44198895,181
"1918","Illaoi","Nunu",0.511331445,706
"11120","Illaoi","Olaf",0.447058824,85
"14364","Illaoi","Orianna",0.355555556,45
"57101","Illaoi","Ornn",0.4875,80
"8534","Illaoi","Pantheon",0.343283582,134
"6124","Illaoi","Poppy",0.560185185,216
"2143","Illaoi","Pyke",0.44,325
"10542","Illaoi","Quinn",0.446808511,94
"7371","Illaoi","Rakan",0.547619048,42
"8328","Illaoi","Rammus",0.489208633,139
"7443","Illaoi","Rek'Sai",0.56097561,41
"11088","Illaoi","Renekton",0.423529412,85
"3288","Illaoi","Rengar",0.471830986,426
"6892","Illaoi","Riven",0.510869565,184
"10578","Illaoi","Rumble",0.531914894,94
"15268","Illaoi","Ryze",0.648648649,37
"9474","Illaoi","Sejuani",0.50877193,114
"5572","Illaoi","Shaco",0.37295082,244
"14182","Illaoi","Shen",0.531914894,47
"7380","Illaoi","Shyvana",0.518072289,166
"11172","Illaoi","Singed",0.511904762,84
"8406","Illaoi","Sion",0.627737226,137
"16836","Illaoi","Sivir",0.4,25
"10572","Illaoi","Skarner",0.542553191,94
"13556","Illaoi","Sona",0.528301887,53
"17734","Illaoi","Soraka",0.578947368,19
"13788","Illaoi","Swain",0.568627451,51
"16698","Illaoi","Syndra",0.576923077,26
"13250","Illaoi","Tahm Kench",0.50877193,57
"8870","Illaoi","Taliyah",0.579365079,126
"10998","Illaoi","Talon",0.517241379,87
"14228","Illaoi","Taric",0.553191489,47
"5176","Illaoi","Teemo",0.501886792,265
"11054","Illaoi","Thresh",0.523255814,86
"13546","Illaoi","Tristana",0.377358491,53
"7422","Illaoi","Trundle",0.463414634,164
"7068","Illaoi","Tryndamere",0.497175141,177
"16264","Illaoi","Twisted Fate",0.533333333,30
"6852","Illaoi","Twitch",0.543010753,186
"6408","Illaoi","Udyr",0.532019704,203
"12578","Illaoi","Urgot",0.507692308,65
"15838","Illaoi","Varus",0.333333333,33
"10760","Illaoi","Vayne",0.582417582,91
"10710","Illaoi","Veigar",0.52173913,92
"15854","Illaoi","Vel'Koz",0.636363636,33
"6244","Illaoi","Vi",0.545023697,211
"18384","Illaoi","Viktor",0.714285714,14
"16914","Illaoi","Vladimir",0.48,25
"8348","Illaoi","Volibear",0.460431655,139
"4360","Illaoi","Warwick",0.460815047,319
"4038","Illaoi","Wukong",0.568115942,345
"7451","Illaoi","Xayah",0.536585366,41
"17218","Illaoi","Xerath",0.409090909,22
"5286","Illaoi","Xin Zhao",0.523255814,258
"5042","Illaoi","Yasuo",0.544117647,272
"15126","Illaoi","Yorick",0.605263158,38
"8066","Illaoi","Zac",0.493150685,146
"10894","Illaoi","Zed",0.488636364,88
"12732","Illaoi","Ziggs",0.555555556,63
"13706","Illaoi","Zilean",0.461538462,52
"13406","Illaoi","Zoe",0.454545455,55
"12850","Illaoi","Zyra",0.548387097,62
"1733","Irelia","Aatrox",0.448019802,404
"59401","Irelia","Ahri",0.486486486,74
"1331","Irelia","Akali",0.367346939,539
"8462","Irelia","Alistar",0.533333333,135
"1870","Irelia","Amumu",0.554633472,723
"14932","Irelia","Anivia",0.45,40
"12510","Irelia","Annie",0.409090909,66
"12082","Irelia","Ashe",0.535211268,71
"72021","Irelia","Aurelion Sol",0.6,45
"6597","Irelia","Azir",0.465517241,58
"46501","Irelia","Bard",0.444444444,117
"3683","Irelia","Blitzcrank",0.451807229,166
"20501","Irelia","Brand",0.605882353,340
"6287","Irelia","Braum",0.492307692,65
"64661","Irelia","Caitlyn",0.459016393,61
"2415","Irelia","Camille",0.464788732,284
"7485","Irelia","Cassiopeia",0.3,40
"3356","Irelia","Cho'Gath",0.450839329,417
"79061","Irelia","Corki",0.606060606,33
"24561","Irelia","Darius",0.421428571,280
"20061","Irelia","Diana",0.522988506,348
"3298","Irelia","Dr. Mundo",0.550588235,425
"61811","Irelia","Draven",0.5,68
"1987","Irelia","Ekko",0.501424501,351
"37921","Irelia","Elise",0.452830189,159
"3064","Irelia","Evelynn",0.429805616,463
"39421","Irelia","Ezreal",0.4,150
"3048","Irelia","Fiddlesticks",0.457081545,466
"5547","Irelia","Fiora",0.552941176,85
"32501","Irelia","Fizz",0.515,200
"6624","Irelia","Galio",0.492307692,195
"59621","Irelia","Gangplank",0.506849315,73
"16281","Irelia","Garen",0.47099768,431
"66061","Irelia","Gnar",0.543859649,57
"13801","Irelia","Gragas",0.470134875,519
"397","Irelia","Graves",0.518546556,1321
"17821","Irelia","Hecarim",0.440203562,393
"4989","Irelia","Heimerdinger",0.538461538,104
"5215","Irelia","Illaoi",0.4375,96
"49211","Irelia","Ivern",0.481132075,106
"72761","Irelia","Janna",0.431818182,44
"18421","Irelia","Jarvan IV",0.530183727,381
"1212","Irelia","Jax",0.457905544,974
"6331","Irelia","Jayce",0.578125,64
"3747","Irelia","Jhin",0.382716049,162
"46101","Irelia","Jinx",0.423728814,118
"1809","Irelia","Kai'Sa",0.483204134,387
"7019","Irelia","Kalista",0.551020408,49
"5149","Irelia","Karma",0.525252525,99
"6076","Irelia","Karthus",0.54587156,218
"12592","Irelia","Kassadin",0.461538462,65
"52741","Irelia","Katarina",0.436170213,94
"8716","Irelia","Kayle",0.604651163,129
"7661","Irelia","Kayn",0.478520286,838
"6765","Irelia","Kennen",0.555555556,54
"12981","Irelia","Kha'Zix",0.461121157,553
"1273","Irelia","Kindred",0.443262411,564
"54381","Irelia","Kled",0.438202247,89
"5475","Irelia","Kog'Maw",0.5,88
"13852","Irelia","LeBlanc",0.37254902,51
"437","Irelia","Lee Sin",0.438511327,1236
"52641","Irelia","Leona",0.4,95
"74181","Irelia","Lissandra",0.43902439,41
"38561","Irelia","Lucian",0.529032258,155
"4709","Irelia","Lulu",0.452173913,115
"33221","Irelia","Lux",0.466666667,195
"1567","Irelia","Malphite",0.475663717,452
"57601","Irelia","Malzahar",0.46835443,79
"17761","Irelia","Maokai",0.526582278,395
"736","Irelia","Master Yi",0.473608098,1383
"8082","Irelia","Miss Fortune",0.445205479,146
"3849","Irelia","Mordekaiser",0.483870968,155
"7764","Irelia","Morgana",0.480519481,154
"66481","Irelia","Nami",0.517857143,56
"3591","Irelia","Nasus",0.439306358,173
"3131","Irelia","Nautilus",0.50952381,210
"21781","Irelia","Nidalee",0.479623824,319
"23921","Irelia","Nocturne",0.461805556,288
"494","Irelia","Nunu",0.468766974,1841
"7736","Irelia","Olaf",0.461038961,154
"5311","Irelia","Orianna",0.505376344,93
"41881","Irelia","Ornn",0.449275362,138
"23011","Irelia","Pantheon",0.486754967,302
"17441","Irelia","Poppy",0.49127182,401
"11561","Irelia","Pyke",0.440789474,608
"4949","Irelia","Quinn",0.380952381,105
"5179","Irelia","Rakan",0.469387755,98
"5826","Irelia","Rammus",0.5,230
"6259","Irelia","Rek'Sai",0.5,66
"39241","Irelia","Renekton",0.38410596,151
"791","Irelia","Rengar",0.461444308,817
"18201","Irelia","Riven",0.511688312,385
"35921","Irelia","Rumble",0.595375723,173
"10532","Irelia","Ryze",0.452631579,95
"3237","Irelia","Sejuani",0.447761194,201
"3984","Irelia","Shaco",0.444444444,351
"4433","Irelia","Shen",0.507936508,126
"21461","Irelia","Shyvana",0.443076923,325
"7320","Irelia","Singed",0.520958084,167
"4844","Irelia","Sion",0.530035336,283
"15290","Irelia","Sivir",0.405405405,37
"38581","Irelia","Skarner",0.406451613,155
"12794","Irelia","Sona",0.451612903,62
"14212","Irelia","Soraka",0.553191489,47
"5551","Irelia","Swain",0.447058824,85
"7309","Irelia","Syndra",0.465116279,43
"4817","Irelia","Tahm Kench",0.518181818,110
"2669","Irelia","Taliyah",0.470588235,255
"30841","Irelia","Talon",0.469767442,215
"53861","Irelia","Taric",0.5,90
"3218","Irelia","Teemo",0.401376147,436
"3709","Irelia","Thresh",0.420731707,164
"9694","Irelia","Tristana",0.431192661,109
"2817","Irelia","Trundle",0.470833333,240
"4652","Irelia","Tryndamere",0.486577181,298
"11942","Irelia","Twisted Fate",0.424657534,73
"4120","Irelia","Twitch",0.477876106,339
"18801","Irelia","Udyr",0.502673797,374
"8838","Irelia","Urgot",0.46031746,126
"64441","Irelia","Varus",0.409836066,61
"3719","Irelia","Vayne",0.460122699,163
"4733","Irelia","Veigar",0.473684211,114
"6423","Irelia","Vel'Koz",0.5,62
"1593","Irelia","Vi",0.501128668,443
"7905","Irelia","Viktor",0.484848485,33
"16312","Irelia","Vladimir",0.379310345,29
"2955","Irelia","Volibear",0.537444934,227
"3070","Irelia","Warwick",0.365800866,462
"1135","Irelia","Wukong",0.503246753,616
"5879","Irelia","Xayah",0.473684211,76
"7029","Irelia","Xerath",0.448979592,49
"3270","Irelia","Xin Zhao",0.440559441,429
"12681","Irelia","Yasuo",0.475265018,566
"6873","Irelia","Yorick",0.411764706,51
"21211","Irelia","Zac",0.525835866,329
"3589","Irelia","Zed",0.439306358,173
"5967","Irelia","Ziggs",0.424657534,73
"12430","Irelia","Zilean",0.462686567,67
"53241","Irelia","Zoe",0.440860215,93
"47161","Irelia","Zyra",0.526315789,114
"6430","Ivern","Aatrox",0.477832512,203
"16290","Ivern","Ahri",0.466666667,30
"6366","Ivern","Akali",0.368932039,206
"13840","Ivern","Alistar",0.490196078,51
"4562","Ivern","Amumu",0.449180328,305
"18894","Ivern","Anivia",0.636363636,11
"12410","Ivern","Annie",0.411764706,68
"15424","Ivern","Ashe",0.361111111,36
"16422","Ivern","Aurelion Sol",0.5,28
"16780","Ivern","Azir",0.346153846,26
"5379","Ivern","Bard",0.406593407,91
"11106","Ivern","Blitzcrank",0.352941176,85
"9852","Ivern","Brand",0.481132075,106
"17788","Ivern","Braum",0.277777778,18
"15574","Ivern","Caitlyn",0.457142857,35
"9632","Ivern","Camille",0.427272727,110
"19196","Ivern","Cassiopeia",0.444444444,9
"6166","Ivern","Cho'Gath",0.48372093,215
"18914","Ivern","Corki",0.454545455,11
"7968","Ivern","Darius",0.472972973,148
"8368","Ivern","Diana",0.413043478,138
"7158","Ivern","Dr. Mundo",0.442528736,174
"15546","Ivern","Draven",0.485714286,35
"8430","Ivern","Ekko",0.470588235,136
"12904","Ivern","Elise",0.442622951,61
"5326","Ivern","Evelynn",0.40625,256
"12382","Ivern","Ezreal",0.397058824,68
"6186","Ivern","Fiddlesticks",0.471962617,214
"16188","Ivern","Fiora",0.366666667,30
"10522","Ivern","Fizz",0.473684211,95
"12860","Ivern","Galio",0.344262295,61
"14474","Ivern","Gangplank",0.355555556,45
"6822","Ivern","Garen",0.465240642,187
"15548","Ivern","Gnar",0.542857143,35
"5814","Ivern","Gragas",0.463203463,231
"1796","Ivern","Graves",0.493959732,745
"6658","Ivern","Hecarim",0.489690722,194
"13906","Ivern","Heimerdinger",0.52,50
"12748","Ivern","Illaoi",0.428571429,63
"9842","Ivern","Irelia",0.481132075,106
"16496","Ivern","Janna",0.285714286,28
"6676","Ivern","Jarvan IV",0.481865285,193
"2812","Ivern","Jax",0.521653543,508
"16998","Ivern","Jayce",0.416666667,24
"11374","Ivern","Jhin",0.481481481,81
"13152","Ivern","Jinx",0.431034483,58
"6578","Ivern","Kai'Sa",0.538071066,197
"8153","Ivern","Kalista",0.517241379,29
"16728","Ivern","Karma",0.346153846,26
"11448","Ivern","Karthus",0.5125,80
"17880","Ivern","Kassadin",0.388888889,18
"15490","Ivern","Katarina",0.5,36
"12940","Ivern","Kayle",0.491803279,61
"2932","Ivern","Kayn",0.470225873,487
"17222","Ivern","Kennen",0.363636364,22
"3532","Ivern","Kha'Zix",0.444723618,398
"3284","Ivern","Kindred",0.417840376,426
"14808","Ivern","Kled",0.5,42
"15688","Ivern","Kog'Maw",0.529411765,34
"17916","Ivern","LeBlanc",0.555555556,18
"1972","Ivern","Lee Sin",0.41509434,689
"16844","Ivern","Leona",0.44,25
"18716","Ivern","Lissandra",0.416666667,12
"11770","Ivern","Lucian",0.368421053,76
"17588","Ivern","Lulu",0.25,20
"12560","Ivern","Lux",0.415384615,65
"6914","Ivern","Malphite",0.524590164,183
"16822","Ivern","Malzahar",0.44,25
"3816","Ivern","Maokai",0.482288828,367
"1298","Ivern","Master Yi",0.456404736,929
"11958","Ivern","Miss Fortune",0.452054795,73
"11640","Ivern","Mordekaiser",0.532467532,77
"14572","Ivern","Morgana",0.590909091,44
"18350","Ivern","Nami",0.533333333,15
"10860","Ivern","Nasus",0.393258427,89
"12440","Ivern","Nautilus",0.462686567,67
"7128","Ivern","Nidalee",0.388571429,175
"6158","Ivern","Nocturne",0.395348837,215
"1680","Ivern","Nunu",0.433290978,787
"9706","Ivern","Olaf",0.472222222,108
"16210","Ivern","Orianna",0.6,30
"6531","Ivern","Ornn",0.389830508,59
"8058","Ivern","Pantheon",0.47260274,146
"7344","Ivern","Poppy",0.407185629,167
"26701","Ivern","Pyke",0.411764706,255
"11644","Ivern","Quinn",0.415584416,77
"76041","Ivern","Rakan",0.447368421,38
"8602","Ivern","Rammus",0.393939394,132
"15246","Ivern","Rek'Sai",0.368421053,38
"12162","Ivern","Renekton",0.514285714,70
"262","Ivern","Rengar",0.467809524,2625
"7676","Ivern","Riven",0.455128205,156
"13548","Ivern","Rumble",0.358490566,53
"15736","Ivern","Ryze",0.588235294,34
"11666","Ivern","Sejuani",0.415584416,77
"5706","Ivern","Shaco",0.421940928,237
"13690","Ivern","Shen",0.442307692,52
"6674","Ivern","Shyvana",0.518134715,193
"12018","Ivern","Singed",0.361111111,72
"9366","Ivern","Sion",0.504347826,115
"18828","Ivern","Sivir",0.5,12
"10048","Ivern","Skarner",0.446601942,103
"16796","Ivern","Sona",0.5,26
"17352","Ivern","Soraka",0.428571429,21
"15410","Ivern","Swain",0.472222222,36
"17008","Ivern","Syndra",0.416666667,24
"14366","Ivern","Tahm Kench",0.444444444,45
"9990","Ivern","Taliyah",0.504854369,103
"12416","Ivern","Talon",0.388059701,67
"15702","Ivern","Taric",0.352941176,34
"6332","Ivern","Teemo",0.347826087,207
"13210","Ivern","Thresh",0.456140351,57
"15046","Ivern","Tristana",0.435897436,39
"7670","Ivern","Trundle",0.371794872,156
"7142","Ivern","Tryndamere",0.477011494,174
"15610","Ivern","Twisted Fate",0.4,35
"6760","Ivern","Twitch",0.394736842,190
"5714","Ivern","Udyr",0.447257384,237
"13022","Ivern","Urgot",0.4,60
"16244","Ivern","Varus",0.5,30
"10418","Ivern","Vayne",0.412371134,97
"14926","Ivern","Veigar",0.35,40
"18102","Ivern","Vel'Koz",0.5,16
"5796","Ivern","Vi",0.409482759,232
"18980","Ivern","Viktor",0.272727273,11
"17888","Ivern","Vladimir",0.333333333,18
"8978","Ivern","Volibear",0.475806452,124
"4820","Ivern","Warwick",0.442105263,285
"5024","Ivern","Wukong",0.402930403,273
"8223","Ivern","Xayah",0.464285714,28
"18738","Ivern","Xerath",0.25,12
"5216","Ivern","Xin Zhao",0.425855513,263
"5432","Ivern","Yasuo",0.492,250
"15746","Ivern","Yorick",0.382352941,34
"9130","Ivern","Zac",0.475,120
"10606","Ivern","Zed",0.408602151,93
"16128","Ivern","Ziggs",0.387096774,31
"17662","Ivern","Zilean",0.368421053,19
"14278","Ivern","Zoe",0.5,46
"13864","Ivern","Zyra",0.4,50
"5545","Janna","Aatrox",0.588235294,85
"92861","Janna","Ahri",0.461538462,13
"7049","Janna","Akali",0.354166667,48
"18640","Janna","Alistar",0.307692308,13
"11774","Janna","Amumu",0.64,75
"19508","Janna","Anivia",0.166666667,6
"19328","Janna","Annie",0.5,8
"16798","Janna","Ashe",0.5,26
"96611","Janna","Aurelion Sol",0.5,8
"9629","Janna","Azir",0.5,8
"82541","Janna","Bard",0.321428571,28
"83401","Janna","Blitzcrank",0.37037037,27
"81301","Janna","Brand",0.566666667,30
"96881","Janna","Braum",0.714285714,7
"86861","Janna","Caitlyn",0.619047619,21
"7365","Janna","Camille",0.261904762,42
"97721","Janna","Cassiopeia",0.5,6
"14132","Janna","Cho'Gath",0.645833333,48
"98561","Janna","Corki",0.666666667,3
"7115","Janna","Darius",0.531914894,47
"76411","Janna","Diana",0.648648649,37
"12822","Janna","Dr. Mundo",0.580645161,62
"8705","Janna","Draven",0.476190476,21
"80761","Janna","Ekko",0.5,30
"91061","Janna","Elise",0.5,16
"13848","Janna","Evelynn",0.450980392,51
"79121","Janna","Ezreal",0.696969697,33
"15352","Janna","Fiddlesticks",0.513513514,37
"91461","Janna","Fiora",0.6,15
"8855","Janna","Fizz",0.526315789,19
"17598","Janna","Galio",0.421052632,19
"89021","Janna","Gangplank",0.333333333,18
"56641","Janna","Garen",0.475609756,82
"95621","Janna","Gnar",0.555555556,9
"6225","Janna","Gragas",0.552238806,67
"19811","Janna","Graves",0.580736544,353
"6525","Janna","Hecarim",0.593220339,59
"9653","Janna","Heimerdinger",0.625,8
"92841","Janna","Illaoi",0.461538462,13
"14552","Janna","Irelia",0.431818182,44
"82481","Janna","Ivern",0.285714286,28
"69661","Janna","Jarvan IV",0.58,50
"7434","Janna","Jax",0.597560976,164
"9437","Janna","Jayce",0.727272727,11
"70521","Janna","Jhin",0.5,48
"66611","Janna","Jinx",0.535714286,56
"4929","Janna","Kai'Sa",0.613207547,106
"9499","Janna","Kalista",0.545454545,11
"8905","Janna","Karma",0.5,18
"16332","Janna","Karthus",0.517241379,29
"19142","Janna","Kassadin",0.111111111,9
"94221","Janna","Katarina",0.181818182,11
"16130","Janna","Kayle",0.483870968,31
"35401","Janna","Kayn",0.528409091,176
"9511","Janna","Kennen",0.7,10
"5253","Janna","Kha'Zix",0.463157895,95
"4275","Janna","Kindred",0.541353383,133
"8995","Janna","Kled",0.235294118,17
"79181","Janna","Kog'Maw",0.606060606,33
"19612","Janna","LeBlanc",0.6,5
"3489","Janna","Lee Sin",0.519337017,181
"9517","Janna","Leona",0.5,10
"76521","Janna","Lucian",0.486486486,37
"83441","Janna","Lulu",0.444444444,27
"80381","Janna","Lux",0.516129032,31
"6709","Janna","Malphite",0.418181818,55
"9767","Janna","Malzahar",0,6
"74461","Janna","Maokai",0.463414634,41
"3184","Janna","Master Yi",0.557562077,443
"15950","Janna","Miss Fortune",0.5,32
"9017","Janna","Mordekaiser",0.411764706,17
"17486","Janna","Morgana",0.35,20
"78101","Janna","Nami",0.4,35
"71201","Janna","Nasus",0.489361702,47
"85381","Janna","Nautilus",0.565217391,23
"73901","Janna","Nidalee",0.619047619,42
"68201","Janna","Nocturne",0.480769231,52
"6592","Janna","Nunu",0.408163265,196
"16832","Janna","Olaf",0.44,25
"95081","Janna","Orianna",0.6,10
"8887","Janna","Ornn",0.578947368,19
"6909","Janna","Pantheon",0.509803922,51
"61101","Janna","Poppy",0.52173913,69
"62141","Janna","Pyke",0.507462687,67
"8197","Janna","Quinn",0.379310345,29
"9613","Janna","Rakan",0.555555556,9
"15188","Janna","Rammus",0.657894737,38
"94211","Janna","Rek'Sai",0.545454545,11
"83881","Janna","Renekton",0.615384615,26
"36521","Janna","Rengar",0.505952381,168
"5619","Janna","Riven",0.56626506,83
"88981","Janna","Rumble",0.555555556,18
"18478","Janna","Ryze",0.285714286,14
"8851","Janna","Sejuani",0.473684211,19
"15172","Janna","Shaco",0.447368421,38
"93961","Janna","Shen",0.416666667,12
"69101","Janna","Shyvana",0.490196078,51
"17666","Janna","Singed",0.473684211,19
"15230","Janna","Sion",0.473684211,38
"19176","Janna","Sivir",0.555555556,9
"82321","Janna","Skarner",0.428571429,28
"17036","Janna","Sona",0.416666667,24
"15076","Janna","Soraka",0.384615385,39
"96461","Janna","Swain",0.375,8
"97501","Janna","Syndra",0.833333333,6
"95421","Janna","Tahm Kench",0.8,10
"8873","Janna","Taliyah",0.526315789,19
"8037","Janna","Talon",0.35483871,31
"8909","Janna","Taric",0.611111111,18
"12736","Janna","Teemo",0.46031746,63
"77041","Janna","Thresh",0.611111111,36
"16828","Janna","Tristana",0.4,25
"7057","Janna","Trundle",0.479166667,48
"11508","Janna","Tryndamere",0.493670886,79
"19442","Janna","Twisted Fate",0.428571429,7
"11424","Janna","Twitch",0.4125,80
"5835","Janna","Udyr",0.532467532,77
"18240","Janna","Urgot",0.266666667,15
"91481","Janna","Varus",0.533333333,15
"6777","Janna","Vayne",0.603773585,53
"9763","Janna","Veigar",0.666666667,6
"9709","Janna","Vel'Koz",0.571428571,7
"63001","Janna","Vi",0.492307692,65
"98011","Janna","Viktor",0.4,5
"19568","Janna","Vladimir",0,5
"7363","Janna","Volibear",0.380952381,42
"11440","Janna","Warwick",0.3875,80
"52461","Janna","Wukong",0.505263158,95
"9109","Janna","Xayah",0.8125,16
"97981","Janna","Xerath",0.6,5
"11542","Janna","Xin Zhao",0.556962025,79
"26411","Janna","Yasuo",0.527131783,258
"98281","Janna","Yorick",0.25,4
"82021","Janna","Zac",0.482758621,29
"7929","Janna","Zed",0.636363636,33
"9819","Janna","Ziggs",0.25,4
"19202","Janna","Zilean",0.222222222,9
"97101","Janna","Zoe",0.571428571,7
"9669","Janna","Zyra",0.625,8
"9161","Jarvan IV","Aatrox",0.523224044,732
"4469","Jarvan IV","Ahri",0.5,124
"8741","Jarvan IV","Akali",0.392904074,761
"5890","Jarvan IV","Alistar",0.535087719,228
"478","Jarvan IV","Amumu",0.588391906,1878
"9382","Jarvan IV","Anivia",0.530434783,115
"9164","Jarvan IV","Annie",0.516666667,120
"8174","Jarvan IV","Ashe",0.482517483,143
"56381","Jarvan IV","Aurelion Sol",0.445783133,83
"47581","Jarvan IV","Azir",0.504424779,113
"3203","Jarvan IV","Bard",0.441176471,204
"5430","Jarvan IV","Blitzcrank",0.52,250
"991","Jarvan IV","Brand",0.588064047,687
"52721","Jarvan IV","Braum",0.457446809,94
"10068","Jarvan IV","Caitlyn",0.568627451,102
"13611","Jarvan IV","Camille",0.5,526
"6427","Jarvan IV","Cassiopeia",0.629032258,62
"1502","Jarvan IV","Cho'Gath",0.508274232,846
"16190","Jarvan IV","Corki",0.6,30
"1409","Jarvan IV","Darius",0.503937008,508
"9461","Jarvan IV","Diana",0.559440559,715
"1656","Jarvan IV","Dr. Mundo",0.556116015,793
"4965","Jarvan IV","Draven",0.423076923,104
"919","Jarvan IV","Ekko",0.574555404,731
"21541","Jarvan IV","Elise",0.498452012,323
"1294","Jarvan IV","Evelynn",0.460300429,932
"21561","Jarvan IV","Ezreal",0.551083591,323
"880","Jarvan IV","Fiddlesticks",0.503649635,1233
"4747","Jarvan IV","Fiora",0.504424779,113
"18621","Jarvan IV","Fizz",0.525198939,377
"2102","Jarvan IV","Galio",0.558778626,655
"7746","Jarvan IV","Gangplank",0.480519481,154
"715","Jarvan IV","Garen",0.471264368,870
"3497","Jarvan IV","Gnar",0.561111111,180
"447","Jarvan IV","Gragas",0.520197857,1213
"1041","Jarvan IV","Graves",0.551317614,2884
"705","Jarvan IV","Hecarim",0.511918275,881
"3147","Jarvan IV","Heimerdinger",0.531100478,209
"26941","Jarvan IV","Illaoi",0.51984127,252
"3684","Jarvan IV","Irelia",0.530183727,381
